year,avg_pts,avg_total_yds,avg_to,avg_pass_rate
2005,20.61875,315.915625,1.7515625,0.5331706410993918
2006,20.671875,322.11875,1.7534375,0.5314156590969207
2007,21.696875,325.225,1.79375,0.549172335569006
2008,22.034375,327.246875,1.55,0.5392650347916744
2009,21.46875,335.14375,1.704375,0.5475419146886848
2010,22.046875,336.015625,1.6809375,0.5534959695898861
2011,22.190625,346.834375,1.58375,0.5544718678462175
2012,22.759375,347.215625,1.5584375,0.5597722431943003
2013,23.41875,348.484375,1.59125,0.5660687892353307
2014,22.6,348.15625,1.4815625,0.5663575574004626
2015,22.821875,352.659375,1.4578125,0.5749351055781129
2016,22.76875,350.40625,1.368125,0.5782400232945925
2017,21.721875,334.06875,1.3803125,0.5598468037063333
2018,23.353125,352.22812500000003,1.3609375,0.570917509060049
2019,22.8125,347.875,1.3896875,0.5710990186995399
2020,24.8,359.0375,1.3003125,0.5661621563800625
2021,22.984375,343.5625,1.2971875,0.5630203218269889
2022,21.903125,340.234375,1.3103125,0.5489918398347252
2023,21.76875,331.59375,1.3496875,0.5567035003201888
2024,22.91875,337.415625,1.2096875,0.5485253520811552
